Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
8380	5	2.57742	0.89975	2.12912	0.952381	0.0252381	0.00142857	0.0209524	0.00691496
8390	7	2.63136	0.893685	2.16792	0.948317	0.0275012	0.00284495	0.0213371	0.00685679
8400	6	2.34064	0.893701	2.15991	0.955566	0.0229336	0.000477783	0.0210225	0.00701709
8410	5	2.42485	0.892125	2.13544	0.937207	0.0393627	0.00187441	0.0215558	0.00689061
8420	6	2.20119	0.890449	2.10467	0.946074	0.0302744	0.00236518	0.0212867	0.00703679
8430	6	2.03752	0.888425	2.07844	0.949217	0.0308495	0.00379687	0.0161367	0.00727828
8440	6	1.96828	0.887614	2.01152	0.948317	0.0303461	0.00237079	0.0189663	0.00726943
8450	6	1.89902	0.886208	1.98615	0.950119	0.0308789	0.000475059	0.0185273	0.007391
8460	5	1.8962	0.883894	2.04696	0.949668	0.0280152	0.00379867	0.0185185	0.00730869
8470	4	2.00254	0.877641	2.02459	0.947418	0.0298437	0.00189484	0.0208432	0.00749878
8480	3	1.9344	0.876322	2.05092	0.943396	0.0287736	0.00188679	0.0259434	0.00734359
8490	5	1.82787	0.877642	2.0248	0.932836	0.0429104	0.00419776	0.020056	0.0073433
8500	3	1.89022	0.874341	1.98344	0.935454	0.036015	0.00233863	0.0261927	0.0075161
8510	2	1.92839	0.870307	1.92447	0.951475	0.02902	0.00142721	0.018078	0.00755587
8520	3	1.98134	0.86549	2.02831	0.942507	0.033459	0.00188501	0.0221489	0.00719478
8530	2	1.92481	0.865065	1.9401	0.93633	0.0393258	0.00140449	0.0229401	0.00747754
8540	2	1.8778	0.863906	2.00821	0.944733	0.0264525	0.00236183	0.0264525	0.0073716
8550	2	1.83202	0.862134	1.96933	0.942951	0.0358322	0.00282885	0.0183876	0.00746809
8560	4	1.86887	0.859837	1.99205	0.925926	0.0444444	0.00185185	0.0277778	0.00740845
