Generation number	Total number of allele	Diversity	Activity	Time	Fertility rate	2 DSB on one site rate	No DSB rate	No symmetrical sites (binding + DSB) rate	q
1730	4	1.32723	0.91436	1.68608	0.947418	0.0345808	0.00236855	0.0156324	0.00861861
1740	6	1.27312	0.91734	1.93068	0.946074	0.0345317	0.00189215	0.0175024	0.008832
1750	5	1.29085	0.913869	1.8518	0.947418	0.0350545	0.000947418	0.0165798	0.00861693
1760	4	1.55665	0.915846	1.84289	0.946522	0.032655	0.00141978	0.0194037	0.00811856
1770	5	1.51855	0.918446	1.7981	0.939408	0.0422734	0.00375763	0.0145608	0.00820175
1780	5	1.40358	0.915791	1.80638	0.94697	0.0388258	0.00284091	0.0113636	0.00819281
1790	3	1.46224	0.904101	1.84612	0.948767	0.0336812	0.0028463	0.0147059	0.00833026
1800	3	1.32469	0.901226	1.73025	0.943396	0.0358491	0.00330189	0.0174528	0.00879356
1810	4	1.30386	0.900099	1.74422	0.935454	0.0444341	0.00233863	0.0177736	0.00873156
1820	5	1.27089	0.899764	1.69813	0.95057	0.0342205	0.00142586	0.0137833	0.00887001
1830	4	1.26075	0.900543	1.71982	0.951475	0.0333016	0.00333016	0.0118934	0.00899693
1840	4	1.29657	0.896927	1.68549	0.942507	0.0386428	0.00282752	0.0160226	0.00879848
1850	4	1.45025	0.897813	1.85486	0.944733	0.0387341	0.0028342	0.0136986	0.00865692
1860	6	1.49082	0.899556	1.7621	0.944287	0.0382436	0.00188857	0.0155807	0.00836371
1870	5	1.45366	0.896611	1.91154	0.948317	0.0346136	0.000948317	0.0161214	0.00852317
1880	5	1.44653	0.892229	1.74221	0.948767	0.0313093	0.0028463	0.0170778	0.00823539
1890	5	1.44644	0.88946	1.86702	0.947418	0.0364756	0.00284225	0.0132639	0.00833887
1900	4	1.50188	0.889668	1.80893	0.943841	0.0363379	0.00283152	0.0169891	0.008446
1910	5	1.53969	0.888573	1.86599	0.93633	0.0411985	0.00327715	0.0191948	0.00835446
1920	6	1.68412	0.890531	1.88755	0.944733	0.0368446	0.00188947	0.0165328	0.00801322
1930	4	1.68359	0.887746	1.90388	0.943396	0.0372642	0.00235849	0.0169811	0.00800316
1940	6	1.75736	0.887244	1.90719	0.943396	0.0358491	0.000943396	0.0198113	0.0079264
1950	4	1.7882	0.886607	1.91104	0.938967	0.0380282	0.00422535	0.0187793	0.00783044
1960	4	1.78532	0.884632	1.8732	0.950119	0.031829	0.00190024	0.016152	0.00814189
1970	6	1.83254	0.884495	1.90025	0.94518	0.0354442	0.00094518	0.018431	0.00766658
1980	4	1.81166	0.882134	1.93937	0.944733	0.0354275	0	0.0198394	0.00788257
1990	5	1.86261	0.880307	1.99428	0.946074	0.0288553	0.00236518	0.0227058	0.007797
2000	4	1.92137	0.879599	1.96356	0.946074	0.0316935	0.000473037	0.0217597	0.00781467
2010	4	1.93383	0.879855	1.93779	0.945626	0.0349882	0.00236407	0.0170213	0.00789136
2020	3	1.82829	0.872371	1.84537	0.938967	0.0399061	0.00375587	0.0173709	0.00801692
2030	3	1.77862	0.866853	1.90241	0.93985	0.037594	0.0018797	0.0206767	0.00800478
2040	3	1.93184	0.870298	1.93171	0.944733	0.0363722	0.0014171	0.0174776	0.00785489
2050	4	2.00695	0.869143	1.93868	0.944287	0.0358829	0.00188857	0.0179415	0.00784134
2060	3	2.19798	0.873562	2.05776	0.957854	0.026341	0.000478927	0.0153257	0.00745953
2070	3	2.16459	0.871962	1.94868	0.941176	0.0348235	0.00235294	0.0216471	0.00774221
2080	4	2.4414	0.879407	2.08969	0.948317	0.0336652	0.00189663	0.0161214	0.00740561
2090	4	2.57577	0.882732	2.10268	0.939408	0.0352278	0.00281822	0.0225458	0.00723392
2100	4	2.68899	0.88571	2.14219	0.938967	0.0356808	0.00375587	0.0215962	0.00728325
2110	4	2.7305	0.891838	2.03526	0.94697	0.032197	0.00378788	0.0170455	0.00726573
2120	4	2.70953	0.888333	2.05617	0.942063	0.0353274	0.00423928	0.0183702	0.00713122
2130	6	2.71753	0.887431	2.06379	0.940291	0.0371415	0.00282087	0.0197461	0.00708952
2140	4	2.48948	0.875845	2.01474	0.940734	0.0404516	0.0028222	0.0159925	0.00733062
2150	5	2.50364	0.872784	2.13521	0.943841	0.0325625	0.00141576	0.0221803	0.00709669
2160	5	2.55369	0.873685	1.986	0.940734	0.0352775	0.0028222	0.0211665	0.00740306
2170	4	2.54252	0.874035	2.07367	0.953289	0.0285987	0.00190658	0.0162059	0.00719765
2180	4	2.70013	0.875084	1.96414	0.947418	0.0317385	0.00378967	0.0170535	0.00734625
2190	4	2.65683	0.869577	2.04627	0.941176	0.0338824	0.00282353	0.0221176	0.00715824
2200	4	2.66311	0.872878	2.05429	0.937647	0.0351617	0.00187529	0.0253165	0.00705917
2210	5	2.74887	0.875038	2.11643	0.94162	0.0338983	0.00094162	0.0235405	0.00718169
2220	6	2.84415	0.884985	2.02847	0.942063	0.0287329	0.00235516	0.0268488	0.00699476
2230	6	2.72858	0.891206	2.09735	0.945626	0.0316785	0.000945626	0.0217494	0.00699186
2240	7	2.81818	0.895611	2.09268	0.949217	0.0308495	0.00189843	0.0180351	0.00699632
2250	8	2.55879	0.896273	2.1236	0.950119	0.0256532	0.00285036	0.0213777	0.00715146
2260	7	2.42251	0.89832	2.08987	0.942063	0.0263778	0.00423928	0.0273198	0.00704095
2270	6	2.73575	0.891154	2.15901	0.944287	0.0311615	0.003305	0.0212465	0.00708765
2280	6	2.78144	0.892499	2.06606	0.943396	0.0301887	0.00235849	0.0240566	0.00719084
2290	5	2.91711	0.890537	2.09823	0.947867	0.02891	0.000947867	0.0222749	0.00699401
2300	5	2.95106	0.890312	2.11196	0.94518	0.0326087	0.00236295	0.0198488	0.0070938
2310	6	3.07205	0.887241	2.138	0.940291	0.0314998	0.00188058	0.0263282	0.00668975
2320	4	2.96652	0.890193	2.06556	0.945626	0.0326241	0.00472813	0.0170213	0.0069826
2330	5	2.77254	0.892231	2.03608	0.939408	0.0361672	0.000939408	0.0234852	0.00703886
2340	5	3.00828	0.889768	2.14386	0.944287	0.0316336	0.00283286	0.0212465	0.00683902
2350	6	2.94794	0.896759	2.03871	0.951475	0.0313987	0.00142721	0.0156993	0.007185
2360	6	2.87369	0.893078	2.12441	0.942507	0.0344015	0.00141376	0.0216777	0.00683231
2370	6	2.9902	0.895311	2.1146	0.953743	0.0257511	0.00238436	0.0181211	0.00689876
2380	6	2.78711	0.89568	2.0607	0.946074	0.0283822	0.00425733	0.0212867	0.00690314
2390	9	2.84956	0.894414	2.13673	0.938086	0.0342402	0.00422139	0.0234522	0.00700056
2400	7	2.92217	0.899264	2.14274	0.947418	0.0312648	0.00236855	0.0189484	0.00682867
2410	6	2.73169	0.904329	2.12056	0.942951	0.0325318	0.00330033	0.0212164	0.0068201
2420	6	2.47587	0.906558	2.07206	0.951475	0.02902	0.00142721	0.018078	0.00720225
2430	6	2.39625	0.908028	2.01604	0.947867	0.0336493	0.0014218	0.0170616	0.00713179
2440	6	2.41927	0.908138	2.1292	0.942063	0.0376825	0.00235516	0.0178992	0.00725826
2450	6	2.43422	0.908361	2.09628	0.948767	0.0275142	0.00189753	0.0218216	0.00719258
2460	6	2.4162	0.905132	2.00686	0.951022	0.0266286	0.00237756	0.0199715	0.00714467
2470	7	2.23818	0.905475	2.02433	0.944733	0.0325933	0.0042513	0.0184223	0.00722736
2480	7	2.09186	0.902887	1.94643	0.941176	0.0381176	0.00141176	0.0192941	0.00743529
2490	6	2.16489	0.896228	1.99157	0.943396	0.0400943	0.00283019	0.0136792	0.00745394
2500	5	1.99863	0.896125	1.90995	0.953743	0.0281354	0.000476872	0.0176443	0.00738145
2510	4	2.02198	0.896724	1.99929	0.93985	0.0357143	0.00140977	0.0230263	0.00732828
2520	4	1.92913	0.900984	1.97022	0.94697	0.0288826	0.00473485	0.0194129	0.0074192
2530	5	1.97091	0.901079	1.98108	0.941176	0.0404706	0.00282353	0.0155294	0.00740805
2540	5	2.22147	0.895512	1.93924	0.957396	0.0263284	0.000957396	0.0153183	0.00738224
2550	6	2.27537	0.893382	1.9834	0.948317	0.0308203	0.00237079	0.0184922	0.0075334
2560	5	2.05158	0.891995	2.18358	0.936768	0.0398126	0.000468384	0.0229508	0.00738389
2570	4	2.17767	0.886863	2.01368	0.945626	0.0250591	0.000945626	0.0283688	0.00732135
2580	4	2.08872	0.887453	1.97764	0.943396	0.0339623	0.00235849	0.020283	0.00745724
2590	4	2.05452	0.885874	1.95265	0.941176	0.0324706	0.00235294	0.024	0.00749066
2600	5	2.0537	0.884333	1.96943	0.952835	0.0271558	0.000952835	0.0190567	0.00749616
2610	4	2.01651	0.883006	1.94466	0.94518	0.0330813	0.00283554	0.0189036	0.0076729
2620	5	2.14271	0.88604	2.00452	0.944733	0.0307038	0.0056684	0.0188947	0.00729019
2630	7	2.2792	0.885197	2.03737	0.934579	0.0369159	0.00327103	0.0252336	0.00720023
2640	6	2.18707	0.883575	1.97021	0.947867	0.0279621	0.00379147	0.0203791	0.00737933
2650	7	2.17284	0.883995	2.06697	0.934143	0.0322279	0.00233536	0.0312938	0.00730854
2660	4	1.94421	0.881272	1.94303	0.935891	0.0416472	0.00233973	0.0201217	0.00761212
2670	7	1.9415	0.880866	2.05573	0.939408	0.0361672	0.00281822	0.0216064	0.00765288
2680	6	2.0121	0.881215	1.95662	0.940734	0.0338664	0.00188147	0.0235183	0.00755981
2690	6	2.12918	0.878053	1.95718	0.940734	0.0376294	0.0042333	0.0174036	0.00744322
2700	5	2.17539	0.876012	1.99245	0.931099	0.0405028	0.00512104	0.0232775	0.0075285
2710	6	2.2116	0.873759	1.96652	0.938086	0.0370544	0.00281426	0.022045	0.00739169
2720	5	2.0363	0.870289	1.91438	0.944733	0.0396788	0.000944733	0.0146434	0.00774809
2730	7	2.26632	0.868223	1.99462	0.937647	0.0360994	0.00375059	0.0225035	0.00731175
2740	7	2.39787	0.872303	2.05638	0.933707	0.0392157	0.00466853	0.022409	0.00739128
2750	6	2.36582	0.870931	1.98423	0.94518	0.0311909	0.00141777	0.0222117	0.0073316
2760	6	2.20139	0.867718	1.97528	0.943396	0.0325472	0.00235849	0.0216981	0.00748181
2770	8	2.36623	0.866236	1.96028	0.938527	0.0351947	0.00281558	0.0234632	0.00729241
2780	6	2.62757	0.867359	2.07785	0.937207	0.0379569	0.00187441	0.0229616	0.00700957
2790	6	2.94365	0.870427	1.99419	0.93985	0.0357143	0.00328947	0.0211466	0.00698025
2800	6	3.4439	0.88054	2.1549	0.942951	0.0306459	0.00330033	0.0231023	0.00665789
2810	6	3.39983	0.873476	2.13983	0.947867	0.0279621	0.00236967	0.0218009	0.00682799
